shop,address,count,shopid,shop+address
ゲームパドック・プラスワン古河店,茨城県古河市小堤１９１６－１ ゲームパドック・プラスワン古河,4,shop_id=1088,ゲームパドック・プラスワン古河店 茨城県古河市小堤１９１６－１ ゲームパドック・プラスワン古河
ゲームパニックつくば,茨城県土浦市中村東1-1-1 サンタスワールド内,4,shop_id=425,ゲームパニックつくば 茨城県土浦市中村東1-1-1 サンタスワールド内
ピンクパンサー土浦店,茨城県土浦市木田余4585-3 ピンクパンサー土浦店,2,shop_id=10620,ピンクパンサー土浦店 茨城県土浦市木田余4585-3 ピンクパンサー土浦店
タイトーFステーション坂東店,茨城県坂東市辺田1104-1 ヨークベニマル坂東,2,shop_id=6610,タイトーFステーション坂東店 茨城県坂東市辺田1104-1 ヨークベニマル坂東
ソユートイズニューヨーク守谷,茨城県守谷市百合ケ丘３―２４９―１ イオンタウン守谷２階,2,shop_id=3002,ソユートイズニューヨーク守谷 茨城県守谷市百合ケ丘３―２４９―１ イオンタウン守谷２階
GiGO日立,茨城県日立市田尻町3-26-1 セガワールド日立,2,shop_id=5593,GiGO日立 茨城県日立市田尻町3-26-1 セガワールド日立
ピンクパンサー日立店,茨城県日立市東多賀町５－１０－１０ ピンクパンサー日立,4,shop_id=1396,ピンクパンサー日立店 茨城県日立市東多賀町５－１０－１０ ピンクパンサー日立
GiGO水戸,茨城県水戸市宮町1-7-44 コムボックス310,2,shop_id=11684,GiGO水戸 茨城県水戸市宮町1-7-44 コムボックス310
GiGO水戸南,茨城県水戸市千波町2017-1 ,2,shop_id=10219,GiGO水戸南 茨城県水戸市千波町2017-1 
ピンクパンサー水戸けやき台店,茨城県水戸市酒門町３２７６－１ ピンクパンサー水戸けやき台,2,shop_id=1860,ピンクパンサー水戸けやき台店 茨城県水戸市酒門町３２７６－１ ピンクパンサー水戸けやき台
ピンクパンサー水戸赤塚店,茨城県水戸市河和田１－１ ピンクパンサー水戸赤塚,2,shop_id=2052,ピンクパンサー水戸赤塚店 茨城県水戸市河和田１－１ ピンクパンサー水戸赤塚
ユーズランド水戸内原店,茨城県水戸市内原２丁目１番地 イオン水戸内原２階,6,shop_id=1140,ユーズランド水戸内原店 茨城県水戸市内原２丁目１番地 イオン水戸内原２階
GiGO石岡,茨城県石岡市東大橋中峯1976-1 ,4,shop_id=1448,GiGO石岡 茨城県石岡市東大橋中峯1976-1 
アミューズメントジャムジャム神栖店,茨城県神栖市神栖1-8-1 ,2,shop_id=7543,アミューズメントジャムジャム神栖店 茨城県神栖市神栖1-8-1 
GiGO霞ケ浦,茨城県稲敷市西代1473-1 ,2,shop_id=11694,GiGO霞ケ浦 茨城県稲敷市西代1473-1 
アピナ下館店,茨城県筑西市玉戸１０１２－３ アピナ下館,2,shop_id=985,アピナ下館店 茨城県筑西市玉戸１０１２－３ アピナ下館
あそびのひろば鹿嶋店,茨城県鹿嶋市宮中290-1 ショッピングセンターチェリオ1階,2,shop_id=11128,あそびのひろば鹿嶋店 茨城県鹿嶋市宮中290-1 ショッピングセンターチェリオ1階
GiGO龍ヶ崎,茨城県龍ヶ崎市藤が丘4-2-8 GiGO龍ヶ崎,4,shop_id=8271,GiGO龍ヶ崎 茨城県龍ヶ崎市藤が丘4-2-8 GiGO龍ヶ崎
PALO石橋店,栃木県下野市下古山3362-1 ヨークタウン石橋,2,shop_id=10388,PALO石橋店 栃木県下野市下古山3362-1 ヨークタウン石橋
namcoフェドラP&D佐野店,栃木県佐野市高萩町1340番地 ,8,shop_id=9608,namcoフェドラP&D佐野店 栃木県佐野市高萩町1340番地 
GiGO宇都宮,栃木県宇都宮市東宿郷5-1-7 セガワールド宇都宮,4,shop_id=3888,GiGO宇都宮 栃木県宇都宮市東宿郷5-1-7 セガワールド宇都宮
namco宇都宮店,栃木県宇都宮市簗瀬町1606番地1 P&Dビル,10,shop_id=1599,namco宇都宮店 栃木県宇都宮市簗瀬町1606番地1 P&Dビル
インターパークプラスワン宇都宮店,栃木県宇都宮市インターパーク６丁目５－１ インターパーク宇都宮南,6,shop_id=5545,インターパークプラスワン宇都宮店 栃木県宇都宮市インターパーク６丁目５－１ インターパーク宇都宮南
シーサイドリゾートアミューズメントパーク,栃木県宇都宮市睦町7-3 ,4,shop_id=11733,シーサイドリゾートアミューズメントパーク 栃木県宇都宮市睦町7-3 
スタジオプリモ宇都宮店,栃木県宇都宮市曲師町2-8 ,2,shop_id=10051,スタジオプリモ宇都宮店 栃木県宇都宮市曲師町2-8 
タイトーFステーショントナリエ宇都宮,栃木県宇都宮市駅前通り1-4-6 トナリエ宇都宮B1,2,shop_id=8891,タイトーFステーショントナリエ宇都宮 栃木県宇都宮市駅前通り1-4-6 トナリエ宇都宮B1
ラウンドワンスタジアム宇都宮,栃木県宇都宮市江曽島町2072-1 ,2,shop_id=11650,ラウンドワンスタジアム宇都宮 栃木県宇都宮市江曽島町2072-1 
GiGO小山,栃木県小山市東城南1―1―18 ,2,shop_id=6458,GiGO小山 栃木県小山市東城南1―1―18 
アピナ小山店,栃木県小山市駅南町４－２７－１８ アピナ小山,2,shop_id=2405,アピナ小山店 栃木県小山市駅南町４－２７－１８ アピナ小山
