アドアーズ船橋,千葉県船橋市本町1−31−26セブン船橋B1F〜3F
GAME SQUARE茂原店,千葉県茂原市六ツ野八貫野2785−1ライフガーデン茂原内
ラウンドワンアリオ柏店,千葉県柏市大島田1丁目6番地1セブンパークアリオ柏 1070
ゲームランド津田沼店,千葉県習志野市津田沼1−23−1イオンモール津田沼2F
タイトーFステーション新松戸店,千葉県松戸市新松戸3−2−2イオンフードスタイル新松戸店4階
アピナ印西店,千葉県印西市原1−2ビッグホップガーデンモール印西2F
アピナ市原店,千葉県市原市更級4丁目2番1号アクロスプラザ市原更級F棟1階
アミューズメントエース津田沼,千葉県船橋市前原西2−15−1ファシービル
スタジオプリモ本八幡店,千葉県市川市八幡2−15−10パティオ5階
GiGO秋葉原1号館,東京都千代田区外神田1−10ー9
GiGO渋谷宮益坂,東京都渋谷区渋谷1−14−14EST1階・7階
GiGO新宿西口,東京都新宿区西新宿1−12−5B1F・1F
新宿スポーツランド本館,東京都新宿区新宿3-22-12
GiGO西葛西,東京都江戸川区西葛西5−1−14第一保志ビル
GiGO船堀,東京都江戸川区船堀1ー6ー11
GiGO神楽坂,東京都新宿区神楽坂2−11第2カグラヒルズ1F
GiGO大森,東京都大田区山王2−1−5大森駅ララビル2F
GiGO立川,東京都立川市柴崎町3−2−1サザンビル1・2F
GiGO自由が丘,東京都目黒区自由が丘2ー10ー9
GiGO福生,東京都福生市福生1076−1
GiGO池上,東京都大田区池上6−2−3松山ビル2F
namco巣鴨店,東京都豊島区巣鴨1−15−1宮田ビルB2F
アミューズランドモナコ調布駅前店,東京都調布市布田4−2−22
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル
アミューズメントスペースASO:VIBA!,東京都渋谷区恵比寿1-10-5三恵エビスビル2F
アドアーズ仙川,東京都調布市仙川町2−21−12 VICビル7
シルクハット蒲田西口,東京都大田区西蒲田7−2−3第二醍醐ビル地下1階〜2階
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1−10−1いなりやビル地下1階
ラウンドワン南砂店,東京都江東区南砂6−7−15トピレックプラザ4F
タイトー新宿南口ゲームワールド店,東京都新宿区新宿3−35−8
タイトーステーション 渋谷店,東京都渋谷区渋谷1−24−12渋谷東映プラザ
タイトーBIGBOX高田馬場店,東京都新宿区高田馬場1−35−3 BIGBOX6F
タイトーステーション新宿東口店,東京都新宿区新宿3−22−7 指田ビル
タイトーステーション国分寺店,東京都国分寺市本町3−5−11
ウェアハウス入谷店,東京都足立区入谷7−8−11
ウェアハウス保木間店,東京都足立区保木間1−1−19
アミューズメントスペースカプセル,東京都多摩市永山1−3−4ヒューマックスパビリオン永山B1-2F
アミュージアムOSC店,東京都練馬区東大泉2−34−1オズスタジオシティ2F
ハイテクランドキューデン,東京都足立区西新井栄町2-7-2
タイトーステーション 町田店,東京都町田市原町田6−21−23 松山ビル1階
アドアーズ亀戸店,東京都江東区亀戸5−2−6サンエービル1〜5階
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5
タイトーステーション 秋葉原店,東京都千代田区外神田4−2−2貴三ビル
namco中野店,東京都中野区中野5−52−15中野ブロードウェイ別館
ラウンドワン町田店,東京都町田市森野1−13−14
タイトーステーション 上野アメ横店,東京都台東区上野4−10−17
GiGO府中,東京都府中市西原町1−6−2フレスポ府中1F・2F
ドラマ八王子高倉店,東京都八王子市高倉町55-4
シルクハット八王子,東京都八王子市旭町2−5 八王子ツインタワービル3階
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
ドットコム葛西,東京都江戸川区中葛西3−35−5
GiGOアリオ葛西,東京都江戸川区東葛西9−3−3イトーヨーカドー3F
タイトーFステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F
ラウンドワン板橋店,東京都板橋区相生町16−13
namco王子サンスクエア店,東京都北区王子1−4−1サンスクエア2階
GiGOイオンモールむさし村山,東京都武蔵村山市榎1−1−3−2059
アピナ八王子みなみ野店,東京都八王子市みなみ野1−2−1アクロスモール3F
アドアーズ新小岩,東京都葛飾区新小岩1−44−4 VORT新小岩ビル
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1
ユーズランド日の出店,東京都西多摩郡日の出町大字平井237-3イオンモール日の出3F
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F
アドアーズ上野アメ横,東京都台東区上野4−9−14上野K.KビルB1〜4階
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平3−1−1
宝島 瑞江店,東京都江戸川区瑞江2−1−2ドン・キホーテラパーク瑞江店4F
GiGO赤羽,東京都北区赤羽1−7−9赤羽第一葉山ビルB1
ラウンドワン府中本町駅前,東京都府中市本町1−13−3カネタビル
タイトーステーション錦糸町楽天地店,東京都墨田区江東橋4−27−14楽天地ビルB1F
SOYU ZAURUS WORLD 大森店 ,東京都大田区大森北2-13-1イトーヨーカドー大森店3F
ソユープレイランドソピア南大沢店,東京都八王子市南大沢2-28-1イトーヨーカドー南大沢店3F
ソユープレイランドソピア八王子店,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
ハローズガーデン武蔵小金井店,東京都小金井市本町6-14-9イトーヨーカドー武蔵小金井店4F
ラウンドワンダイバーシティ東京プラザ店,東京都江東区青海1-1-10ダイバーシティ東京プラザ6階61000
Amusement&Game MAGHREB,東京都多摩市落合1−41−1マグレブウェスト1階・2階
ラウンドワン池袋店,東京都豊島区東池袋1−14−1
GiGO竹の塚,東京都足立区竹の塚6−8−6ピーくんPlaza−b
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2
タイトーステーション 池袋西口店,東京都豊島区西池袋1−15−9第一西池ビル
タイトーステーション立川北口店,東京都立川市曙町2−4−5クリサス立川2・3F
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22
GiGO町田,東京都町田市原町田6−13ー17アーバンミサワビルB1
タイトーステーションBIGFUN平和島店,東京都大田区平和島1丁目1−1BIGFUN平和島
GiGO赤羽駅前,東京都北区赤羽1−2−4
アピナ荻窪店,東京都杉並区上荻1−13−10ハクサンビル
