shop,adress,map
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル,"35.7305503 139.7097415"
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3ミナミビル6F・7F,"35.7008302 139.7718494"
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5,"35.69874690738787 139.77014704540363"
ＧｉＧＯ秋葉原３号館１,東京都千代田区外神田１−１１−１１外神田１丁目ビルディング,"35.699257270962505 139.7709038033188"
Ｈｅｙ,東京都千代田区外神田１−１０−５廣瀬本社ビル１階〜４階,"35.699024123715816 139.77106381537897"
ＧｉＧＯ渋谷宮益坂,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階,"35.6600164 139.7025897"
タイトーステーション 渋谷店,東京都渋谷区渋谷１−２４−１２渋谷東映プラザ,"35.65985204002188 139.70199283743432"
アミューズメントスペースASO：VIBA！,東京都渋谷区恵比寿1-10-5三恵エビスビル2F,"35.6467821 139.7110171"
ＧｉＧＯ新宿西口,東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ,"35.689529241569375 139.6973699957008"
新宿スポーツランド本館,東京都新宿区新宿3-22-12,"35.693125966474724 139.70182948343245"
タイトー新宿南口ゲームワールド店,東京都新宿区新宿３−３５−８,"35.68986596324073 139.70225423802867"
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階,"35.6958088 139.7015128"
ＧｉＧＯ高田馬場,東京都新宿区高田馬場４−７−５高田馬場グランド東京,"35.7136018 139.7037221"
タイトーＢＩＧＢＯＸ高田馬場店,東京都新宿区高田馬場１−３５−３　ＢＩＧＢＯＸ６Ｆ,"35.7129463 139.7042567"
ＧｉＧＯ神楽坂,東京都新宿区神楽坂２−１１第２カグラヒルズ１Ｆ,"35.7010372 139.7420111"
シルクハット蒲田西口,東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階,"35.563073 139.71596499999998"
