第8弾「CHUNITHM SUN PLUS オリジナルグッズ,住所
ゲームディーノ阪急茨木店,大阪府茨木市永代町５ ソシオビルＢ１
楽市楽座イオンモール大阪ドーム店,大阪府大阪市西区千代崎３−１３−１
ＧｉＧＯ新三国アルゴ７,大阪府豊中市神州町１−１５
ｎａｍｃｏくずはモール店,大阪府枚方市楠葉花園町１０−８５ＫＵＺＵＨＡＭＡＬＬ南館２Ｆ
ラウンドワンららぽーと和泉店,大阪府和泉市あゆみ野４−４−７　４階　４２１００番
ENTERTAINMENT FIELD ららぽーとEXPOCITY店,大阪府吹田市千里万博公園２−１ららぽーとＥＸＰＯＣＩＴＹ３Ｆ
楽市楽座イオンモール四條畷店,大阪府四條畷市砂4-3-2イオンモール四條畷店3F
トップラン東大阪店,大阪府東大阪市東鴻池町１−６−３０イオンタウン東大阪店２Ｆ
SOYU GAME FIELD堺鉄砲町店,大阪府堺市堺区鉄砲町1番地イオンモール堺鉄砲町3F
タイトーステーション摂津富田店,大阪府高槻市大畑町１３−１　イオン摂津富田店２階
アミパラ大東店,大阪府大東市南新田２丁目３番５号
プラサカプコン藤井寺,大阪府藤井寺市岡２丁目１０番１１号イオン藤井寺ＳＣ２Ｆ
あそＶＩＶＡ阪急茨木店,大阪府茨木市永代町６−２スポーツプラザ茨木２Ｆ
SOYUGameFieldみのおキューズモール店,大阪府箕面市西宿１−１５−３０みのおキューズモールＣ棟２階
アミパラ光明池店,大阪府和泉市室堂町８２４−３６
ＧｉＧＯあべのアポロ４階,大阪府大阪市阿倍野区阿倍野筋１ー５ー３１アポロビル４Ｆ
ＧｉＧＯ明石,兵庫県明石市魚住町清水２４６４−１
ＧｉＧＯ姫路駅前,兵庫県姫路市駅前町２５４姫路ＯＳビルＢ１Ｆ
ＧｉＧＯつかしん,兵庫県尼崎市塚口本町４−８−１つかしん内
ジョイプラザ豊岡店,兵庫県豊岡市加広町７−３２コープデイズ豊岡内
ｎａｍｃｏ豊岡店,兵庫県豊岡市中陰字大工６１７　３階
ゲームアイビス太子店,兵庫県揖保郡太子町太田2149
ラウンドワン加古川店,兵庫県加古川市尾上町安田325番6号
ラウンドワンＪＲ尼崎駅前店,兵庫県尼崎市潮江１−４−５プラストいきいき館４階
ラウンドワン伊丹店,兵庫県伊丹市昆陽７丁目２９
ラウンドワン三宮駅前店,兵庫県神戸市中央区小野柄通6-1-17
Ｇ−ｐａｌａ花北店,兵庫県姫路市増位新町１−６　２Ｆ
プレイステーションネーブル西宮店,兵庫県西宮市両度町6-10
アミパラ垂水店,兵庫県神戸市垂水区名谷町字室山１４００−１８
ラウンドワン姫路飾磨店,兵庫県姫路市飾磨区中島１−２５４
ＧｉＧＯあまがさきキューズモール,兵庫県尼崎市潮江１−３−１あまがさきキューズモール内４Ｆ
ハローズガーデン新三田店,兵庫県三田市けやき台１−６−４三田ウッディタウンサティ２番街
アミューズアイランド和田山,兵庫県朝来市和田山町枚田岡774番地イオン和田山店1F
楽市楽座イオンモール神戸北店,兵庫県神戸市北区上津台８−１−１
社スポーツレーン,兵庫県加東市社1189-1
トップラン,兵庫県神戸市西区岩岡町古郷1474-1
ＧｉＧＯ神戸ｕｍｉｅサウスモール,兵庫県神戸市中央区東川崎町１ー７−２ダイヤニッセイビル４Ｆ
ＧｉＧＯフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町６−１フェニックスプラザ１Ｆ
ＧｉＧＯ神戸ｕｍｉｅモザイク,兵庫県神戸市中央区東川崎１ー６ー１神戸モザイク３Ｆ
タイトーＦステーション三宮西館店,兵庫県神戸市中央区三宮町２丁目１１−１センタープラザ西館
タイトーＦステーション姫路,兵庫県姫路市駅前町２６９・２７０番地
ＧｉＧＯコロワ甲子園,兵庫県西宮市甲子園高潮町３−３Ｃｒｏｗａ甲子園３Ｆ
西友川西ゲームパーク,兵庫県川西市栄町１６−８
アピナ姫路店,兵庫県姫路市東郷町１４５４−３姫路リオス２階
アミパラ伊川谷店,兵庫県神戸市西区池上３丁目２番３号
タイトーＦステーションアスピア明石店,兵庫県明石市東仲ノ町６‐１　アスピア明石店南館３階
ラウンドワン奈良・ミナーラ店,奈良県奈良市二条大路南１−３−１ミ・ナーラ５階
SOYUGameField奈良橿原店,奈良県橿原市曲川町7-20-1　イオンモール橿原3F
アミューズメントＣＵＥ奈良三条店,奈良県奈良市三条町478-1
アミューズメントＣＵＥ奈良大和高田店,奈良県大和高田市東中２−１１−１６
楽市楽座　イオンモール大和郡山店,奈良県大和郡山市下三橋町741-333イオンモール大和郡山店
AMパークイオンモール奈良登美ヶ丘店,奈良県生駒市鹿畑町３０２７イオンモール専門店街３階
キッズサーカス奈良柏木店,奈良県奈良市柏木町４５６−１
アミパラ橿原店,奈良県橿原市十市町1222-1ツインゲート橿原１F
ラウンドワン和歌山店,和歌山県和歌山市小雑賀７３９−３
ユーズランド和歌山店,和歌山県和歌山市中字楠谷５７３イオンモール和歌山２Ｆ
ＧｉＧＯ米子,鳥取県米子市両三柳２７７８−２
ＧｉＧＯ鳥取,鳥取県鳥取市安長４１６
アミパラがいな店,鳥取県米子市日ノ出町１−８−１３
ＧｉＧＯ松江,島根県松江市嫁島町１２−１５
ジーパラ出雲,島根県出雲市渡橋町７８４−１
ｙｏｕｍｅ　ＣＩＲＣＵＳ出雲店,島根県出雲市大塚町６５０−１ゆめタウン出雲店　東館３Ｆ
アミパラ松江店,島根県松江市東朝日町２０３−１
ＧｉＧＯ倉敷,岡山県倉敷市西中新田５３５−２
ＧｉＧＯ岡山藤崎,岡山県岡山市中区藤崎５９９−１２
アミパラテクノランド店,岡山県岡山市北区大和町１−７−１２
アミパラ倉敷店,岡山県倉敷市西中新田624-1アミパラボウル1F
ファンタジスタ,岡山県倉敷市新倉敷駅前５−１９４
アミパラ津山店,岡山県津山市河辺１０００−１イオンモール津山２Ｆ
アミパラ岡山店,岡山県岡山市北区青江１丁目１３−８
ラウンドワン岡山妹尾店,岡山県岡山市南区妹尾３４１３−１
アミューズメントパークＭＧ総社,岡山県総社市門田１８７　天満屋ハピータウンリブ総社店内３階
タイトーＦステーションマルナカ新倉敷店,岡山県倉敷市玉島爪崎９８１−１
ＧｉＧＯイオンモール岡山,岡山県岡山市北区下石井１−２−１イオンモール岡山６Ｆ
タイトーステーション広島本通店,広島県広島市中区本通３−５せらかぐ本通ビル
ＧｉＧＯ中筋,広島県広島市安佐南区中筋４−１１−７
ＧｉＧＯ海田,広島県安芸郡海田町南大正町３−３５
ＧｉＧＯ尾道,広島県尾道市新浜１−２−１３
ＧｉＧＯ福山,広島県福山市瀬戸町大字山北３００
アミパラここじゃ店,広島県東広島市西条町下見６−１０−１９
アミパラ広島店,広島県広島市西区西観音町3-17
アミューズメントパークＭＧジアス,広島県福山市柳津町１−７−６０
ＧｉＧＯ広,広島県呉市広中町１−９
ブラックジャック東広島店,広島県東広島市西条町御薗宇6120
あみぱらんど福山店,広島県福山市三吉町南２−８−２４
タイトーステーション広島紙屋町店,広島県広島市中区紙屋町２−２−２１
ラウンドワン広島店,広島県広島市中区立町３−１１
スペースV1廿日市店,広島県廿日市市本町４−２３
ｎａｍｃｏイオンモール広島府中,広島県安芸郡府中町大須2-1-1イオンモール広島府中3階
アミパラ神辺店,広島県福山市神辺町大字新道上字１−２−１
ブラックジャックアクア店,広島県広島市安佐南区大町東４−１２−１１
ビバーチャ,広島県広島市中区南竹屋町１０−１７
ラウンドワン福山店,広島県福山市明神町１−９−２８
フタバ図書アルティランド,広島県広島市西区草津南４−７−１　アルパーク北棟２Ｆ
楽市楽座広島店,広島県広島市南区段原南１−３−５２広島段原ＳＣ７階７００１
ｎａｍｃｏゆめタウン廿日市店,広島県廿日市市下平良2-2-1ゆめタウン廿日市店3F
ＧｉＧＯＬＥＣＴ広島,広島県広島市西区扇町２−１−４５ＬＥＣＴ２Ｆ
プラサカプコン広島店,広島県広島市佐伯区石内東４丁目１−１ジアウトレット広島
ＧｉＧＯ広島本通,広島県広島市中区本通９−３０ランドマークビル１Ｆ
アミューズメントパークＭＧ府中天満屋店,広島県府中市府川町１８６−１府中天満屋２階
アミュージアム周南店,山口県下松市中央町21-3THEMALL周南3F
ＳＰＥＥＤ,山口県周南市大字久米３２１９
ＧｉＧＯイオンタウン小郡,山口県山口市小郡前田町３−６イオンタウン小郡内
フレスパランドカッタの湯,山口県宇部市海南町1675
THE 3RD PLANET 山口店,山口県山口市湯田温泉6-8-3
アミパラ下関店,山口県下関市長府才川１−４２−４８
アレックス,山口県宇部市西宇部南３−５−５３
ソユーファミリーゲームフィールド防府店,山口県防府市鐘紡町７−１イオンタウン防府1F
ゆめシティ　ゆめパーク,山口県下関市伊倉新町３−１−１
ネオブラボー,山口県防府市高倉１−３−３０
タイトーＦステーション山口メルクス店,山口県山口市大字黒川８２−１ハイパーモールメルクス内
アミパラ周南久米店,山口県周南市久米中央五丁目6-1
ＧｉＧＯスエヒロボウル徳島,徳島県徳島市南末広町４−９５−２
アミューズメントパフェパレパレ田宮店,徳島県徳島市南田宮２−２−４６
ラウンドワン徳島・万代店,徳島県徳島市万代町４−１９−１
ＧｉＧＯ高松,香川県高松市勅使町５３５
マックスプラザ善通寺,香川県善通寺市中村町１７９８−２
アミュージアム高松店,香川県高松市伏石町2144-9
ＧｉＧＯ丸亀,香川県丸亀市蓬莱町５６−１
ラウンドワン高松店,香川県高松市松島町２−７−４３
アミューズメントパークＭＧレインボー,香川県高松市多肥下町１５５２−１７　マルナカレインボー店内
アミパラ丸亀店,香川県丸亀市飯野町西分字川縁甲５８４−１　ハローズ棟内
ゆめタウン高松店ゆめランド,香川県高松市三条町字中所６０８ー１　ゆめタウン高松店2F
ゆめタウン三豊ビックウェーブ,香川県三豊市豊中町本山甲22
アミューズメントパークＭＧ土庄,香川県小豆郡土庄町字半の池甲１３６０−１０
ＧｉＧＯイオンモール高松,香川県高松市香西本町1-1 イオンモール高松2F　227-2
アミパラ高松店,香川県高松市伏石町２１６８番２
アミューズメントパークＭＧ伊予三島,愛媛県四国中央市中之庄町７５−１　アイランド三島内
ＧｉＧＯ松山,愛媛県松山市枝松５−７−３２
ＧｉＧＯ新居浜,愛媛県新居浜市徳常町６−８
アミューズメントパークＭＧキスケ,愛媛県松山市宮田町４　キスケボックス内１階
プレイドーム松山,愛媛県松山市余戸南４丁目９−４０
アミューズメントパークＭＧ朝生田,愛媛県松山市朝生田町４−４−３２　第一自動車教習所ビル１階
プラサカプコン新居浜店,愛媛県新居浜市前田町８−８イオンモール新居浜２Ｆ
ソユーフォレストハンター松前店,愛媛県伊予郡松前町筒井８５０ＡＭ棟１階
バンバン衣山店,愛媛県松山市衣山１−２４８−１
アミパラ松山店,愛媛県松山市生石町６５５−１
ラウンドワン松山店,愛媛県松山市東長戸１−３−１０
アミューズメントパークＭＧ西条,愛媛県西条市新田字北新田２３５フジグラン西条 別棟
アミューズメントパークＭＧ大街道,愛媛県松山市大街道１−４−１７
えの木,高知県高知市旭町3丁目100-3
プラサカプコン高知,高知県高知市秦南町１−４−８イオンモール高知３Ｆ
アミパラ高知店,高知県南国市篠原１９４−１
ＧｉＧＯフジグラン高知,高知県高知市朝倉東町５２−１５フジグラン高知３Ｆ
ウェアハウス四万十店,高知県四万十市右山五月町８−１３アピアさつき２F
ラウンドワン高知店,高知県高知市南宝永町４−１２
ハイパーメッセ,福岡県北九州市小倉南区北方4-6-7
Ｇ−ＳＴＡＧＥ飯塚店,福岡県飯塚市枝国６８０−２
Ｇ−ＳＴＡＧＥ七隈店,福岡県福岡市城南区七隈８−４−８
ＧｉＧＯ中間,福岡県中間市上蓮花寺３−１−１
楽市楽座砂津店,福岡県北九州市小倉北区砂津3-1-1チャチャタウン小倉B棟3F
ｎａｍｃｏ博多バスターミナル店,福岡県福岡市博多区博多駅中央街２−１博多バスターミナル７階
タイトーステーション福岡天神店,福岡県福岡市中央区天神２−６−３５サザンクロスビル
楽市街道箱崎店,福岡県福岡市東区箱崎５丁目１番８号
楽市楽座くりえいと宗像,福岡県宗像市くりえいと１−４−４
ラウンドワン福岡天神店,福岡県福岡市中央区天神２−６−１２
楽市楽座黒崎店,福岡県北九州市八幡西区桜ヶ丘町１−３フレスポ黒崎２階
ジャンボパンチ希林,福岡県飯塚市秋松947
楽市街道くるめ店,福岡県久留米市新合川2-7-10久留米アミューズメントビル内
プラサカプコン直方店,福岡県直方市湯野原２−１−１イオンモール直方２Ｆ
ラウンドワン小倉店,福岡県北九州市小倉北区西港町15-65
楽市楽座イオンモール福岡伊都店,福岡県福岡市西区北原1-3-1イオンモール福岡伊都SC別館
楽市楽座行橋店,福岡県行橋市西泉６−１−１
遊道楽新合川店,福岡県久留米市新合川1丁目6-7
ラウンドワン博多半道橋店,福岡県福岡市博多区半道橋２−２−８
小倉メトロポリス,福岡県北九州市小倉北区西港町２７−５
ラウンドワン大野城店,福岡県大野城市御笠川１−１８−１６
ペップ魚町,福岡県北九州市小倉北区魚町２−４−２０
ｎａｍｃｏゆめタウン久留米店,福岡県久留米市新合川１−２−１ゆめタウン久留米２階
楽市楽座イオンモール筑紫野店,福岡県筑紫野市立明寺４３４−１イオンモール筑紫野店３階
最後の５ドル,福岡県糟屋郡粕屋町大字仲原2706仲原ファミリープラザ2F
フタバ図書ＧＩＧＡ春日店,福岡県春日市昇町8-1-1
Ｇ−ＳＴＡＧＥ小倉,福岡県北九州市小倉北区浅野2-14-5あるあるCITY2階
楽市楽座イオンモール福津店,福岡県福津市日蒔野６−１６−１　イオンモール福津店３Ｆ
パスカランド大川店,福岡県大川市上巻４３０−１ゆめタウン２F
Ｇ−ｐａｌａ小倉,福岡県北九州市小倉南区上葛原1−14−1
サンゲームス新宮店,福岡県糟屋郡新宮町美咲3-1-40新宮ドーム1F
ＧｉＧＯ福岡天神,福岡県福岡市中央区天神２−７−６ＤＡＤＡビル
遊道楽嘉瀬店,佐賀県佐賀市嘉瀬町中原２４８８−１
ソニックワールド伊万里店,佐賀県伊万里市二里町八谷搦１８９−３
ＧｉＧＯ武雄,佐賀県武雄市武雄町富岡１２５１７−１
ラウンドワン佐賀店,佐賀県佐賀市兵庫北４−２−１
ＦＡＳボウリングセンター,佐賀県唐津市栄町２５８１−１ＦＡＳボウリングセンター
ｎａｍｃｏモラージュ佐賀店,佐賀県佐賀市巨勢町大字牛島７３０モラージュ佐賀南館１Ｆ
ＧｉＧＯ諫早,長崎県諫早市小川町９０−１
Ｇ−ｐａｌａ時津,長崎県西彼杵郡時津町野田郷５９号
ソニックワールド大村店,長崎県大村市古賀島町３８３−１
ＧｉＧＯサンスパおおむら,長崎県大村市森園町６６３−３
遊道楽時津店,長崎県西彼杵郡時津町元村郷８６３−１０
ＧｉＧＯみらい長崎ココウォーク,長崎県長崎市茂里町１−５５みらい長崎ココウォーク５Ｆ
アミパラ佐世保店,長崎県佐世保市大塔町１８−１５
G-stage浜町,長崎県長崎市浜町2-26
ｎａｍｃｏワンダーシティ南熊本店,熊本県熊本市中央区九品寺６−９−１
スポラ九品寺,熊本県熊本市中央区九品寺5丁目10-15
パスカワールドグリーンランド店,熊本県荒尾市本井手１５７４−５４
ラウンドワン熊本店,熊本県熊本市西区春日7-25-15
スポラ菊陽,熊本県菊池郡菊陽町津久礼駄飼代２６１７−２
サンゲームス熊本インタープラザ,熊本県熊本市東区御領8-4-82
パスカランドはません,熊本県熊本市南区田井島1-2-1ゆめタウンはません3F
ＧｉＧＯアミュプラザくまもと,熊本県熊本市西区春日三丁目１５番２６号６Ｆ　６１８区画
ＧｉＧＯ中津,大分県中津市沖代町１−２−１６
ＧｉＧＯ高城,大分県大分市牧１−１６１−８
ＧｉＧＯ別府,大分県別府市餅ヶ浜町１６１−２
Ｇ−ｐａｌａ日田,大分県日田市友田997-1
タイトーＦステーションセントポルタ大分店,大分県大分市中央町２−１−１
プラサカプコン大分店,大分県大分市公園通り西２−１パークプレイス大分２Ｆ
トライセン萩原,大分県大分市萩原４−２２７−７
ラウンドワン大分店,大分県大分市萩原２−１３−１７
トライセン中津店,大分県中津市下池永６７−３
タイトーＦステーションゆめタウン別府店,大分県別府市楠町３８２−７
ゲームラボ　サイドセブン,大分県大分市上宗方南１丁目６４９−１
ＧｉＧＯ延岡,宮崎県延岡市平原町５−１４９２−８
ラウンドワン宮崎店,宮崎県宮崎市中村東３−４−６０
楽市楽座イオンモール都城駅前店,宮崎県都城市栄町４６７２−５ｲｵﾝﾓｰﾙ都城駅前店2階
楽市楽座イオンモール宮崎店,宮崎県宮崎市新別府町江口８６２−１イオンモール宮崎店２Ｆ
サンゲームス都城北店,宮崎県都城市上川東4-5997-4
ＧｉＧＯアミュプラザみやざき,宮崎県宮崎市老松２丁目２番２２号アミュプラザみやざき　うみ館
サンアミューズ鹿屋店,鹿児島県鹿屋市札元2丁目3798-1
サンゲームス天文館店,鹿児島県鹿児島市千日町5-6
ラウンドワン鹿児島宇宿店,鹿児島県鹿児島市宇宿2-2-2
ＡｍｕｓｅｍｅｎｔｃｉｔｙＧ−ＳＴＡ,鹿児島県薩摩川内市向田本町４９番
タイトーアミュプラザ鹿児島店,鹿児島県鹿児島市中央町１−１アミュプラザ鹿児島５Ｆ
タイトーＦステーションニシムタ出水店,鹿児島県出水市六月田町３４７番地
ゲームセンター電撃ベイサイド,鹿児島県鹿児島市浜町2-2
ＧｉＧＯ北谷,沖縄県中頭郡北谷町美浜９−８
ｎａｍｃｏイオン具志川店,沖縄県うるま市字前原幸崎原３０３イオン具志川ＳＣ内２Ｆ
ｎａｍｃｏ那覇メインプレイス店,沖縄県那覇市おもろまち4-4-9サンエー那覇メインプレイス２Ｆ
ラウンドワン沖縄・宜野湾店,沖縄県宜野湾市真志喜３−２８−８
ラウンドワン沖縄・南風原店,沖縄県島尻郡南風原町字兼城５５２番地
楽市楽座イオンモール沖縄ライカム店,沖縄県中頭郡北中城村字沖縄ﾗｲｶﾑ1ｲｵﾝﾓｰﾙ沖縄ﾗｲｶﾑ4階
