セガ東京ドームシティ,東京都文京区後楽1-3-61
セガワールド福生,東京都福生市福生1076-1
フォルム武蔵境,東京都武蔵野市境南町2-7-20ダイヤパレス第2　1階
ラウンドワン吉祥寺,東京都武蔵野市吉祥寺本町1-11-22
プラサカプコン吉祥寺,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F
セガイオンモールむさし村山,東京都武蔵村山市榎1-1-3-2059
ラウンドワン武蔵村山,東京都武蔵村山市伊奈平3-1-1
ラウンドワン府中本町駅前,東京都府中市本町1-13-3カネタビル
セガワールド府中,東京都府中市西原町1-6-2フレスポ府中1F・2F
アムネット五反田,東京都品川区西五反田1-27-5
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F
ラウンドワン板橋,東京都板橋区相生町16-13
８ＧＡＭＥＳ　上板橋,東京都板橋区常盤台4-33-15
ゲームシティ板橋,東京都板橋区小茂根1-32-9
タイトーＦステーション南大沢,東京都八王子市南大沢2-3FａB南大沢2F
ソユープレイランドソピア南大沢,東京都八王子市南大沢2-28-1イトーヨーカドー南大沢店3F
ゲームプラザセントラル八王子,東京都八王子市東町12-15第5セントラル
アドアーズ八王子,東京都八王子市東町11-3センチュリーSTビル
ドラマ野猿,東京都八王子市大塚628-1
ドラマ八王子高倉,東京都八王子市高倉町55-4
ソユープレイランドソピア八王子,東京都八王子市狭間町1462-1イトーヨーカドー八王子店3F
シルクハット　八王子,東京都八王子市旭町2-5　八王子ツインタワービル3階
ＹＡＺワールド八王子みなみ野,東京都八王子市みなみ野1-2-1アクロスモール3F
セガワールド東大和,東京都東大和市桜が丘1-1330-19BIGBOX東大和1F
プレビ　イトーヨーカ堂東久留米,東京都東久留米市本町3-8-1イトーヨーカドー東久留米店内
アミューズランドモナコ調布駅前,東京都調布市布田4-2-22
アドアーズ仙川,東京都調布市仙川町2-21-7ＶＩＣビル7
セガ南町田グランベリーパークワンダーシアター,東京都町田市鶴間3丁目3-4グランベリーパーク ワンダーシアター
ラウンドワン町田,東京都町田市森野1-13-14
アドアーズ町田,東京都町田市原町田6-21-25大正堂第2ビル1-4F
タイトーステーション 町田,東京都町田市原町田6-21-23　松山ビル1階
セガ町田,東京都町田市原町田6-13-17アーバンミサワビルB1
