shop,adress,map
ＤＡＩＫＥＩＥＮ,千葉県市川市大町３５９,"35.762464280696484 139.96915520960079"
スタジオプリモ本八幡店,千葉県市川市八幡２−１５−１０パティオ５階,"35.7213241 139.9275016"
ＰＡＬＯ市川,千葉県市川市鬼高１−１−１ニッケコルトンプラザ２Ｆ,"35.7167873 139.9342126"
ラウンドワン市川鬼高店,千葉県市川市鬼高４−１−３,"35.71122068121047 139.92747949510647"
タイトーＦステーション市川妙典店,千葉県市川市妙典4-1-1　イオン市川妙典店2番街2F,"35.6925377 139.9266786"
ＧｉＧＯ我孫子,千葉県我孫子市柴崎字天王谷４７−１,"35.87827025915278 140.03005629147947"
ウェアハウス南流山店,千葉県流山市南流山４−１６−６,"35.8402121 139.9050133"
ラッキー佐倉店,千葉県佐倉市井野1475,"35.7184529 140.1362184"
ラッキーバッティングドーム八千代店,千葉県八千代市大和田新田1088,"35.72452856846103 140.06734110212892"
キャッツアイ八千代店,千葉県八千代市緑が丘西２丁目１３番地３　ｉｓｍ緑ヶ丘内,"35.7335775 140.0724747"
ＧｉＧＯ旭,千葉県旭市二字野場３１５０−１,"35.72356951025296 140.6395598295776"
シルクハット津田沼,千葉県習志野市津田沼１−２−１十三ビル地下１階,"35.6903923 140.0222009"
ゲームランド津田沼店,千葉県習志野市津田沼１−２３−１イオンモール津田沼２Ｆ,"35.6904813 140.024784"
