店名,場所,"緯度と経度",GMAPでみる,ぐーぐるの住所
アミューズメントエース津田沼,千葉県船橋市前原西２−１５−１ファシービル,"35.6922647 140.020169",https://www.google.com/search?q=35.6922647+140.020169,日本、〒274-0825 千葉県船橋市前原西２丁目１５−１ ファミー第一ビル
プラサカプコン吉祥寺店,東京都武蔵野市吉祥寺本町1-10-1いなりやビルB1F,"35.7054757 139.57908",https://www.google.com/search?q=35.7054757+139.57908,日本、〒180-0004 東京都武蔵野市吉祥寺本町１丁目１０ １−１０ トウキョウトドウ114ゴウ
シルクハット　蒲田西口,東京都大田区西蒲田７−２−３第二醍醐ビル地下１階〜２階,"35.5630569 139.7159104",https://www.google.com/search?q=35.5630569+139.7159104,日本、〒144-0051 東京都大田区西蒲田７丁目２−３ 第二醍醐ビル 地下１階〜２
シルクハット　八王子,東京都八王子市旭町２−５　八王子ツインタワービル３階,"35.6564119 139.3384299",https://www.google.com/search?q=35.6564119+139.3384299,日本、〒192-0083 東京都八王子市旭町２−５ 八王子ツインタワーA館 ３階
Ｈｅｙ,東京都千代田区外神田１−１０−５廣瀬本社ビル１階〜４階,"35.6990738 139.7707522",https://www.google.com/search?q=35.6990738+139.7707522,日本、〒101-0021 東京都千代田区外神田１丁目１０−５ １階〜４階
タイトーステーション 池袋西口店,東京都豊島区西池袋１−１５−９第一西池ビル,"35.7305217 139.7097238",https://www.google.com/search?q=35.7305217+139.7097238,日本、〒171-0021 東京都豊島区西池袋１丁目１５−９
タイトーステーション上野御徒町店,東京都台東区上野４−６−９湯島商事ビル,"35.7088395 139.7742936",https://www.google.com/search?q=35.7088395+139.7742936,日本、〒110-0005 東京都台東区上野４丁目６−９ 湯島商事ビル
アピナ荻窪店,東京都杉並区上荻１−１３−１０ハクサンビル,"35.7050056 139.6182351",https://www.google.com/search?q=35.7050056+139.6182351,日本、〒167-0043 東京都杉並区上荻１丁目１３−１０ 第１ハクサンビル
ゲームサファリ池袋,東京都豊島区東池袋1-42-3 2F,"35.7323206 139.713297",https://www.google.com/search?q=35.7323206+139.713297,日本、〒170-0013 東京都豊島区東池袋１丁目４２−３ 安田屋東口ビル 2f
ゲームサファリ大山,東京都板橋区大山東町60-10やすだ大山駅前店2F,"35.749114 139.7022483",https://www.google.com/search?q=35.749114+139.7022483,日本、〒173-0014 東京都板橋区大山東町６０−１０ パチンコ スロット
ドットコム葛西,東京都江戸川区中葛西３−３５−５,"35.6643509 139.8721865",https://www.google.com/search?q=35.6643509+139.8721865,日本、〒134-0083 東京都江戸川区中葛西３丁目３５−５ ダイエックスビル
ＧｉＧＯ秋葉原１号館,東京都千代田区外神田１−１０ー９,"35.6987043 139.7710186",https://www.google.com/search?q=35.6987043+139.7710186,日本、〒101-0021 東京都千代田区外神田１丁目１０−９
ＧｉＧＯ渋谷宮益坂,東京都渋谷区渋谷１−１４−１４ＥＳＴ１階・７階,"35.659867 139.7027846",https://www.google.com/search?q=35.659867+139.7027846,日本、〒150-0002 東京都渋谷区渋谷１丁目１４
ＧｉＧＯ新宿西口,東京都新宿区西新宿１−１２−５Ｂ１Ｆ・１Ｆ,"35.689706 139.6972798",https://www.google.com/search?q=35.689706+139.6972798,日本、〒160-0023 東京都新宿区西新宿１丁目１２
新宿スポーツランド本館,東京都新宿区新宿3-22-12,"35.6931623 139.7018671",https://www.google.com/search?q=35.6931623+139.7018671,日本、〒160-0022 東京都新宿区新宿３丁目２２−１２ 新宿サンパーク 三平本館
ＧｉＧＯ大森,東京都大田区山王２−１−５大森駅ララビル２Ｆ,"35.5898552 139.7283938",https://www.google.com/search?q=35.5898552+139.7283938,日本、〒143-0023 東京都大田区山王２丁目１−５ 2f
ＧｉＧＯ秋葉原３号館１,東京都千代田区外神田１−１１−１１外神田１丁目ビルディング,"35.6992461 139.7709387",https://www.google.com/search?q=35.6992461+139.7709387,日本、〒101-0021 東京都千代田区外神田１丁目１１−１１ Gビル秋葉原01
ＧｉＧＯ町田,東京都町田市原町田６−１３ー１７アーバンミサワビルＢ１,"35.5438842 139.4470374",https://www.google.com/search?q=35.5438842+139.4470374,日本、〒194-0013 東京都町田市原町田６丁目１３−１７ アーバンビル・ミサワ b1
ＧｉＧＯ赤羽駅前,東京都北区赤羽１−２−４,"35.7783046 139.7214868",https://www.google.com/search?q=35.7783046+139.7214868,日本、〒115-0045 東京都北区赤羽１丁目２−４
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラル,"35.6580206 139.3382119",https://www.google.com/search?q=35.6580206+139.3382119,日本、〒192-0082 東京都八王子市東町１２−１５ 第５セントラルビル
ドラマ八王子高倉店,東京都八王子市高倉町55-4,"35.6650608 139.3664651",https://www.google.com/search?q=35.6650608+139.3664651,日本、〒192-0033 東京都八王子市高倉町５５−４ ドラマ八王子高倉店
ドラマ瑞穂店,東京都西多摩郡瑞穂町武蔵382-1,"35.7631217 139.3566818",https://www.google.com/search?q=35.7631217+139.3566818,日本、〒190-1213 東京都西多摩郡瑞穂町武蔵３８２−１ ゲームセンタードラマ
東京レジャーランド亀有店,東京都葛飾区亀有3-21-2,"35.7654385 139.8479681",https://www.google.com/search?q=35.7654385+139.8479681,日本、〒125-0061 東京都葛飾区亀有３丁目２１−２ 東京レジャーランド亀有店
タイトーＦステーションオリナス錦糸町店,東京都墨田区太平4-1-2オリナスモール地下1F,"35.7007271 139.8159403",https://www.google.com/search?q=35.7007271+139.8159403,日本、〒130-0012 東京都墨田区太平４丁目１−２
ゲームパニック新宿歌舞伎町,東京都新宿区歌舞伎町1-20-1　ﾋｭｰﾏｯｸｽﾊﾟﾋﾞﾘｵﾝ1階2階,"35.6958817 139.7015879",https://www.google.com/search?q=35.6958817+139.7015879,日本、〒160-0021 東京都新宿区歌舞伎町１丁目２０−１ Humax Pavilion 新宿 1階2階
ラウンドワン南砂店,東京都江東区南砂６−７−１５トピレックプラザ４Ｆ,"35.6716382 139.8360125",https://www.google.com/search?q=35.6716382+139.8360125,日本、〒136-0076 東京都江東区南砂６丁目７−１５
ラウンドワン町田店,東京都町田市森野１−１３−１４,"35.5439366 139.4431848",https://www.google.com/search?q=35.54393659999999+139.4431848,日本、〒194-0022 東京都町田市森野１丁目１３−１４
ラウンドワン板橋店,東京都板橋区相生町１６−１３,"35.7765969 139.6786875",https://www.google.com/search?q=35.7765969+139.6786875,日本、〒174-0044 東京都板橋区相生町１６−１３
ラウンドワン府中本町駅前,東京都府中市本町１−１３−３カネタビル,"35.6671687 139.4773503",https://www.google.com/search?q=35.6671687+139.4773503,日本、〒183-0027 東京都府中市本町１丁目１３−３ カネタビル
ラウンドワン吉祥寺店,東京都武蔵野市吉祥寺本町1-11-22,"35.7062738 139.5807229",https://www.google.com/search?q=35.7062738+139.5807229,日本、〒180-0004 東京都武蔵野市吉祥寺本町１丁目１１−２２
ＣＬＵＢ　ＥＸＡ,東京都立川市羽衣町２丁目７－３小川ビル１階,"35.6961425 139.4284323",https://www.google.com/search?q=35.6961425+139.4284323,日本、〒190-0021 東京都立川市羽衣町２丁目７−３ 小川ビル １階
イミグランデ日吉店,神奈川県横浜市港北区日吉２−２−４,"35.5541249 139.6465044",https://www.google.com/search?q=35.5541249+139.6465044,日本、〒223-0061 神奈川県横浜市港北区日吉２丁目２−４
イミグランデ溝口店,神奈川県川崎市高津区溝口１−１４−７　第二カスタムビル,"35.6005268 139.6144708",https://www.google.com/search?q=35.6005268+139.6144708,日本、〒213-0001 神奈川県川崎市高津区溝口１丁目１４−７ 第２カスタムビル
シルクハット川崎モアーズ,神奈川県川崎市川崎区駅前本町７番地　岡田屋モアーズ１・２階,"35.5306639 139.699364",https://www.google.com/search?q=35.53066390000001+139.699364,日本、〒210-0007 神奈川県川崎市川崎区駅前本町７ 川崎モアーズ 2F
シルクハット　伊勢佐木町,神奈川県横浜市中区伊勢佐木町３—９６日活会館３階,"35.442787 139.6299302",https://www.google.com/search?q=35.442787+139.6299302,日本、〒231-0045 神奈川県横浜市中区伊勢佐木町３丁目９６ 横浜日活会館 ３階
シルクハット　横須賀中央,神奈川県横須賀市若松町１−５プライムビル２階,"35.2792377 139.6709996",https://www.google.com/search?q=35.2792377+139.6709996,日本、〒238-0007 神奈川県横須賀市若松町１丁目５ ジーユー横須賀プライム店 ２階
シルクハット　川崎ダイス,神奈川県川崎市川崎区駅前本町８番地ダイスビル地下２階,"35.5315336 139.7006669",https://www.google.com/search?q=35.5315336+139.7006669,日本、〒210-0007 神奈川県川崎市川崎区駅前本町８−１５
シルクハット　大船,神奈川県鎌倉市大船１−２４　大船駅前ビル１〜３Ｆ,"35.3535318 139.5318123",https://www.google.com/search?q=35.3535318+139.5318123,日本、〒247-0056 神奈川県鎌倉市大船１丁目５−２４
タイトーステーション溝の口,神奈川県川崎市高津区溝口１−１１−８ＯＫＫＡ６３４ビル３階,"35.6000905 139.6128975",https://www.google.com/search?q=35.6000905+139.6128975,日本、〒213-0001 神奈川県川崎市高津区溝口１丁目１１ マルエツ溝ノ口店Ａ館
タイトーステーション 戸塚西口店,神奈川県横浜市戸塚区戸塚町４０２３,"35.3995034 139.5317798",https://www.google.com/search?q=35.3995034+139.5317798,日本、〒244-0003 神奈川県横浜市戸塚区戸塚町４０２３ サイアス－２・２’
タイトーステーション 横浜西口五番街店,神奈川県横浜市西区南幸１−１２ー９,"35.4646676 139.6196094",https://www.google.com/search?q=35.4646676+139.6196094,日本、〒220-0005 神奈川県横浜市西区南幸１丁目１２−９ タイトーステーション横浜西口五番街店
アピナ橋本店,神奈川県相模原市緑区西橋本５−１−１ラ・フロール駐車場棟１階,"35.5972291 139.3372406",https://www.google.com/search?q=35.5972291+139.3372406,日本、〒252-0131 神奈川県相模原市緑区西橋本５丁目１−１ ラ・フロール １階
ＧｉＧＯ綱島,神奈川県横浜市港北区綱島西２−６−２９,"35.5364001 139.632896",https://www.google.com/search?q=35.5364001+139.632896,日本、〒223-0053 神奈川県横浜市港北区綱島西２丁目６−２９ ＣＬＵＢＳＥＧＡ綱島
