name,address,loc_id,latitude&longitude,pcb_count
"ルスツリゾートゲームワールド","北海道 虻田郡留寿都村 字泉川 13","muQthoNOHeOkMZeN91gCyQ","","","1"
"ユーズランド下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田1F","mSS8_YA6PY90rt4wxxebBg","","","7"
"ラウンドワン青森","青森県 青森市 浜田 3-1-1","L89y1qRIN153St-aNZj91w","","","4"
"タイトーステーション青森ガーラタウン","青森県 青森市 三好 2-3-19","EXoxy7nx3y4WI_hTV-CfBA","","","2"
"ラ・セラキッズ","青森県 青森市 八重田 4-2-1　ラ・セラ東バイパスSC内","AtDm1DZELH8HO8lQKSfXHQ","","","2"
"ソユーゲームフィールド青森","青森県 青森市 浜田 1-14-1　CiiNA CiiNA青森2F","ymr_FoT-qF2LR3v6Rvt9ew","","","2"
"タイトーステーション青森アムゼ","青森県 青森市 緑 3-9-2　サンロード青森アムゼ内","7MKOMN45IrUMRgcHfxT3_Q","","","2"
"ソユースペースファンタジーインフィニ","青森県 弘前市 城東北 3-10-1　さくら野百貨店弘前店4F","3nUxecHCAT-i7SPYI6gJ9g","","","2"
"ファミリーランド弘前","青森県 弘前市 駅前 3-2-1　CiiNA CiiNA弘前4F","UokRUyfWMK-RviuHuXu_gQ","","","2"
"HapipiLandヒロロ弘前","青森県 弘前市 駅前町 9-20　ヒロロ4F","ZsIWo7xExLMjyv1PR4HWGQ","","","2"
"タイトーFステーション八戸","青森県 八戸市 三日町 27","a5NyLtmiGQRrZS4uLih95w","","","2"
"GiGO 八戸","青森県 八戸市 城下 4-25-14","LsjVp1XmDlMMuCVWwwiJqg","","","2"
"ファンタジードーム八戸","青森県 八戸市 江陽 2-14-1　ラピア別棟","sVAO7nDuDoMC-BRESBAxww","","","2"
"ゆりの木ボウル","青森県 八戸市 鷹匠小路 10-3　ゆりの木ボウル内ゲームコーナー","djJHTw7Q6c6Qi57mB4Negw","","","2"
"namcoエルムの街ショッピングセンター","青森県 五所川原市 唐笠柳字藤巻 517-1　エルムの街SC　C棟2F","-2WNnG7XXk0xt4TebW3v-A","","","2"
"モーリーファンタジー十和田","青森県 十和田市 大字相坂字六日町山 166-1　イオン十和田SC　イオンスーパーセンター十和田店1F","iMmzbGv7_k8POx_J8sMuyw","","","2"
"イーグルボウル","青森県 十和田市 東四番町 3-39","fhpSUKODaPHClmNPGdOHiA","","","2"
"PALOむつ","青森県 むつ市 中央 2-7-8　1F","PurJpYxrN9yfeLBBfPADXA","","","2"
"モーリーファンタジーつがる柏","青森県 つがる市 柏稲盛 幾世41　イオンモールつがる柏1F","GHLC5YQFTZnXJi2l0zZ0oQ","","","2"
"モーリーファンタジー下田","青森県 上北郡おいらせ町 中野平 40-1　イオンモール下田　イオン下田店2F","PsRSzvosRWnoTNDwER3gPA","","","2"
"ゲオ青森浜館","青森県 青森市 浜館 3-3-18","QGTJE77TpmtRipSV9GK9Lg","","","1"
