shop,address,count,shopid
アドアーズ蕨,埼玉県蕨市塚越1-4-4 ラ・セーヌビル2F,2,shop_id=11619
FUNFUN越谷店,埼玉県越谷市南荻島2770-1 ,6,shop_id=11776
GiGO南越谷ラクーン,埼玉県越谷市南越谷1-15-1 ラクーン南越谷2F ,2,shop_id=11865
namcoレイクタウンmori北,埼玉県越谷市レイクタウン 3－1－1レイクタウンMORI3階,8,shop_id=12694
ウェアハウス越谷店,埼玉県越谷市南荻島841番地1 ,2,shop_id=11121
ユーズランド越谷店,埼玉県越谷市レイクタウン4-2-2 イオンレイクタウンKAZE 3階,6,shop_id=5665
ラウンドワンさいたま・鴻巣,埼玉県鴻巣市箕田3163-7 ,4,shop_id=11643
ラウンドワンさいたま・上里店,埼玉県児玉郡上里町大字金久保394-1 ,2,shop_id=5670
ビッグボウル杉戸,埼玉県北葛飾郡杉戸町杉戸2338 ,2,shop_id=12670
キャッツアイ八千代店,千葉県八千代市緑が丘西2丁目13番地3 ism緑が丘内 ,4,shop_id=3868
GiGO 千葉,千葉県千葉市中央区富士見2-4-1 富士ビル,4,shop_id=6430
GiGO幕張,千葉県千葉市美浜区ひび野1-8 メッセアミューズモール1階,2,shop_id=4010
GiGO稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1 ,2,shop_id=3935
アミューズメントパフェパレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17 フレスポ稲毛A棟-4,2,shop_id=8996
キャッツアイ東千葉店,千葉県千葉市中央区祐光3丁目2番1号 ,4,shop_id=3872
スポーツウェーブ鉄腕24浜野店,千葉県千葉市中央区浜野町1025-59 ,4,shop_id=6682
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697 ,4,shop_id=5581
アピナ印西店,千葉県印西市原1-2 ビックホップガーデンモール印西2階,2,shop_id=11334
プラサカプコン富津店,千葉県富津市青木１２４－１ イオンモール富津,2,shop_id=1908
千葉レジャーランド成東店,千葉県山武市姫島111-1 ,4,shop_id=2409
ゲームチャリオット五井店,千葉県市原市五井中央西2-1-2 ,2,shop_id=9696
ゲームランドちはら台店,千葉県市原市ちはら台西3-4 unimoちはら台ショッピングセンター2階,4,shop_id=2711
ラウンドワン市原,千葉県市原市八幡北町3-5-1 ,4,shop_id=11673
DAIKEIEN P2,千葉県市川市大町３５９ ,4,shop_id=5727
スタジオプリモ本八幡店,千葉県市川市八幡 2-15-10パティオ5F,2,shop_id=11980
タイトーFステーション市川妙典店,千葉県市川市妙典4-1-1 イオン市川妙典2番街2階,4,shop_id=11525
ラウンドワン市川鬼高,千葉県市川市鬼高4-1-3 ,2,shop_id=11654
プラサカプコン成田店,千葉県成田市ウイング土屋２４ イオン成田２階,2,shop_id=1913
GiGO我孫子,千葉県我孫子市柴崎47-1 ,2,shop_id=7520
GiGO旭,千葉県旭市ニ3150-1 ,2,shop_id=1261
タイトーステーション旭サンモール店,千葉県旭市イ－２６７６－１ イオン旭３Ｆ,2,shop_id=3622
イスカンダル木更津,千葉県木更津市潮見4-1-2 ,3,shop_id=3321
ソユーゲームフィールド木更津店,千葉県木更津市築地１番４ イオンモール木更津２階,2,shop_id=8756
モーリーファンタジー木更津店,千葉県木更津市築地１－４ イオンモール木更津,2,shop_id=8800
GiGO八柱,千葉県松戸市日暮1-1-1 八柱駅第2ビル2F,2,shop_id=8928
namco松戸店,千葉県松戸市松戸1230-1 ピアザ松戸1階,12,shop_id=473
GiGO 柏,千葉県柏市柏 1-1-11 ファミリかしわB1FB1F,4,shop_id=11690
スーパーウェーブ 柏店,千葉県柏市十余二249-5 ,2,shop_id=3354
タイトーステーション柏店,千葉県柏市柏２－３－１ フーサワビル,2,shop_id=6615
モーリーファンタジー柏店,千葉県柏市豊町2丁目5番25号 イオンモール柏2階,2,shop_id=2275
ラウンドワンスタジアム アリオ柏店,千葉県柏市大島田950-1 セブンパークアリオ柏 1070,2,shop_id=9440
柏ヤングボウル,千葉県柏市南柏中央11-1 ,2,shop_id=11731
ウェアハウス南流山,千葉県流山市南流山4-16-6 ,4,shop_id=11701
GiGOイオン新浦安ショッピングセンター,千葉県浦安市入船1-4-1 イオン新浦安4階,2,shop_id=11577
ゲームプラザセントラル浦安店,千葉県浦安市北栄1-16-15第四セントラルビル ,6,shop_id=11768
シルクハット 津田沼,千葉県習志野市津田沼1-2-1 十三ビル 地下1階,4,shop_id=11529
ラウンドワン習志野,千葉県習志野市芝園1-4-5 ,2,shop_id=11676
アドアーズ船橋店,千葉県船橋市本町1-31-26 ,2,shop_id=8634
アミューズメントPLABIららぽーとTOKYO-BAY,千葉県船橋市浜町2-2-2 ららぽーとTOKYO-BAY西館3F,2,shop_id=8121
アミューズメントエース 津田沼,千葉県船橋市前原西2-15-1 ファミービル1Fから3F,4,shop_id=11321
タイトーステーション 船橋,千葉県船橋市本町１丁目６－１ タイトーステーション船橋,4,shop_id=6436
テクモピア船橋南口,千葉県船橋市本町1-7-6 ドリーム船橋3F ,4,shop_id=12414
アミュージアム茂原店,千葉県茂原市高師１６１９－１ ,4,shop_id=3811
アピナ野田七光台店,千葉県野田市七光台4-2 イオンタウン野田七光台,2,shop_id=11198
千葉レジャーランド野田店,千葉県野田市吉春鎌田776-1 ,4,shop_id=10
フリスポ佐原店,千葉県香取市佐原イ-4200 ,2,shop_id=11712
namco中野店,東京都中野区中野5-52-15 中野ブロードウェイ別館,8,shop_id=1563
アドアーズ中野,東京都中野区中野5-52-15 中野ブロードウェイ1F 185,4,shop_id=11620
GiGO赤羽,東京都北区赤羽1-7-9 赤羽第一葉山ビルB1,2,shop_id=11685
GiGO赤羽駅前,東京都北区赤羽1-2-4 ,4,shop_id=11814
namco王子サンスクエア店,東京都北区王子１－４－１ サンスクエア２Ｆ,6,shop_id=2061
GiGO秋葉原1号館,東京都千代田区外神田1-10-9 サトービル,16,shop_id=7628
Hey,東京都千代田区外神田1-10-5 広瀬本社ビル3F,10,shop_id=3087
namco秋葉原店,東京都千代田区外神田 1丁目15-9,8,shop_id=12204
