shop,address,id,place
"GiGO スマーク伊勢崎","群馬県 伊勢崎市 西小保方町 368　スマーク伊勢崎内","IOLmVLjOxD9LBBeoA5dnrg","36.339174 139.233043"
"GiGO センター南","神奈川県 横浜市都筑区 茅ケ崎中央 3-25　aune港北1F","W-xCYkmE4lyJN6SsSKg6hA","35.544602 139.574639"
"GiGO ダイナシティ小田原","神奈川県 小田原市 中里 296-1　小田原ダイナシティイーストモール　イトーヨーカドー小田原店3F","rfTL6dh7z-Zs0ZHdzVs21A","35.281801 139.188662"
"GiGO ビバモール寝屋川","大阪府 寝屋川市 寝屋南 2-22-2　ビバモール寝屋川　モール棟2F","FNeD9fYqxpPHxYXQEakb2Q","34.765772 135.650654"
"GiGO フェスティバルウォーク蘇我","千葉県 千葉市中央区 川崎町 51-1　ハーバーシティ蘇我フェスティバルウォーク　アミューズメント棟1F","LYXd3H3X48UR3XIOQc8Tkg","35.59229051 140.1180813"
"GiGO フェニックスプラザ摩耶","兵庫県 神戸市灘区 味泥町 6-1　フェニックスプラザ1F","2STKse6El5MNaebPuzM3mw","34.704051 135.2280184"
"GiGO フジグラン高知","高知県 高知市 朝倉東町 52-15　フジグラン高知3F","7wUwdSK6s1oj9J1-EOLulw","33.543037 133.497907"
"GiGO フレスポ東大阪","大阪府 東大阪市 稲田新町 3-9-64　フレスポ東大阪2F","qAOoHRSJKLV7LU1qY7u67A","34.690794 135.591319"
"GiGO プライムツリー赤池","愛知県 日進市 赤池町 箕ノ手1　プライムツリー赤池内","OF4LeTBFRGRMXsSRFLzGyA","35.118762 137.021881"
"GiGO ベイドリーム清水","静岡県 静岡市清水区 駒越北町 8-1　ベイドリーム清水2F","DsvpnbC9Xcr7wXrO_Yfydw","34.984874 138.499461"
"GiGO マリエとやま","富山県 富山市 桜町 1-1-61　マリエとやま4F","b0cuYHY28hQRdLxktuYubA","36.700392 137.214107"
"GiGO マーゴ関","岐阜県 関市 倉知 516　サンサンシティマーゴ　シネマ館2F","wuQMR0eWodVqLDThmfEcBw","35.47960467 136.9007528"
"GiGO 上田","長野県 上田市 上田 1847-1","OvpyhCRbuuC2iAel2RobQw","36.412773 138.261935"
"GiGO 中津","大分県 中津市 沖代町 1-2-16","fia5QzRqFowPlwBDZHzDEg","33.59121086 131.2019776"
